eid source target dir capacity speed_mph cost_time tt_user tt_soc
19418 101 103 1 950 20 0.0391213193237 0.0525078 0.0557628
8398 102 740 1 6900 60 0.253393696941 0.330776 0.330285
6006 103 1420 1 950 20 0.0455148617589 0.298816 0.192261
6004 103 4573 1 5400 40 0.0775357002095 0.176156 0.15192
8376 104 115 1 5400 40 0.299646145934 0.389677 0.389843
8392 104 3462 1 6900 60 0.202466970903 0.270636 0.268191
15554 105 8597 1 1900 30 0.0187426228803 0.0243654 0.0243654
9224 106 11964 1 1900 30 0.633169817554 0.92789 0.876784
13429 107 1788 1 1900 30 0.119279061164 0.166903 0.16668
26243 108 588 1 950 20 0.0741839618006 0.0964392 0.0964392
26277 108 109 1 950 20 0.260634866583 0.338838 0.338838
39294 108 8959 1 950 20 0.522738757107 0.67956 0.67956
26245 109 4396 1 950 20 0.0765733911629 0.0995454 0.0995454
39292 109 108 1 950 20 0.260634866583 0.338825 0.338825
26275 109 111 1 950 20 0.0412272886272 0.0535974 0.0535974
20130 110 4396 1 5400 40 0.0202616373079 0.0263414 0.0263414
39268 110 111 1 950 20 0.0765189289822 0.0994746 0.0994746
26273 111 14177 1 950 20 0.0929407424647 0.120827 0.120827
39290 111 109 1 950 20 0.0412272886272 0.0535955 0.0535955
26249 111 110 1 950 20 0.0765189289822 0.0994746 0.0994746
39286 112 14177 1 950 20 0.103376742597 0.13439 0.13439
39270 112 114 1 950 20 0.0925010951622 0.120251 0.120251
26269 112 9119 1 950 20 0.165027762499 0.214537 0.214537
29294 113 11418 1 950 20 0.0322337853411 0.0419039 0.0419039
5582 113 9319 1 950 20 0.0214064156201 0.0278283 0.0278283
16104 114 11024 1 5400 40 0.0328304960148 0.0426823 0.0426824
38386 114 14177 1 950 20 0.0987799262158 0.128414 0.128414
26251 114 112 1 950 20 0.0925010951622 0.120251 0.120251
978 115 4490 1 8100 40 0.538419327218 0.699945 0.699945
8377 115 116 1 5400 40 0.0661678747031 0.0869202 0.0868122
8378 116 7720 1 5400 40 0.0397249586668 0.0589203 0.0576477
39272 117 9578 1 950 20 0.0778088444268 0.101151 0.101151
16102 117 9311 1 5400 40 0.0763039254275 0.0992041 0.0992042
24445 118 11197 1 1900 30 0.0339439075405 0.0441271 0.0441271
17118 118 3005 1 1900 30 0.0931977280144 0.121375 0.123887
38404 118 8039 1 1900 30 0.0236322532022 0.030722 0.0307221
1100 119 1547 1 1900 20 0.0557396733919 0.0753917 0.0753917
18377 119 1460 1 1900 30 0.425769189911 0.66102 0.608467
5002 120 107 1 1900 20 0.0394399122886 0.0512719 0.0512719
3803 120 1789 1 1900 30 0.0539331052666 0.0701191 0.0701192
11450 121 1523 1 1900 30 0.0635524453071 0.0854422 0.0862887
11449 121 8502 1 1900 30 0.0523066993557 0.068669 0.0686251
976 122 123 1 8100 40 0.0371939650191 0.0490537 0.0489404
523 122 503 1 5400 40 0.270495634101 0.359979 0.360319
977 123 115 1 8100 40 0.103585844116 0.134716 0.134685
